time	V(n003)
0.000000000000000e+00	0.000000e+00
4.882812470324849e-12	7.578647e-01
9.765624940649698e-12	7.578735e-01
1.953124988129940e-11	7.578912e-01
3.906249976259879e-11	7.579266e-01
7.812499952519758e-11	7.579973e-01
1.562499990503952e-10	7.581389e-01
3.124999981007903e-10	7.584220e-01
6.249999962015806e-10	7.589880e-01
1.249999992403161e-09	7.601201e-01
2.499999984806323e-09	7.623837e-01
4.999999969612645e-09	7.669092e-01
9.999999939225290e-09	7.759531e-01
1.999999987845058e-08	7.940118e-01
3.999999975690116e-08	8.300143e-01
7.999999951380232e-08	9.015601e-01
1.599999990276046e-07	1.042826e+00
3.199999980552093e-07	1.318137e+00
6.399999961104186e-07	1.840541e+00
1.128281246110419e-06	2.567907e+00
1.616562496110419e-06	3.215083e+00
2.104843746110419e-06	3.786939e+00
2.593124996110419e-06	4.288243e+00
3.081406246110419e-06	4.723648e+00
3.569687496110419e-06	5.097671e+00
4.057968746110418e-06	5.414692e+00
4.546249996110419e-06	5.678941e+00
5.034531246110419e-06	5.894490e+00
5.522812496110420e-06	6.065249e+00
6.011093746110420e-06	6.194960e+00
6.499374996110420e-06	6.287199e+00
6.987656246110421e-06	6.345366e+00
7.475937496110421e-06	6.372696e+00
7.964218746110422e-06	6.372249e+00
8.452499996110422e-06	6.346916e+00
8.940781246110423e-06	6.299422e+00
9.429062496110423e-06	6.232326e+00
9.917343746110423e-06	6.148026e+00
1.040562499611042e-05	6.048765e+00
1.089390624611042e-05	5.936631e+00
1.138218749611042e-05	5.813563e+00
1.187046874611043e-05	5.681358e+00
1.235874999611043e-05	5.541677e+00
1.284703124611043e-05	5.396045e+00
1.333531249611043e-05	5.245862e+00
1.382359374611043e-05	5.092407e+00
1.431187499611043e-05	4.936842e+00
1.480015624611043e-05	4.780222e+00
1.528843749611043e-05	4.623496e+00
1.577671874611043e-05	4.467515e+00
1.626499999611043e-05	4.313036e+00
1.675328124611043e-05	4.160735e+00
1.724156249611043e-05	4.011199e+00
1.772984374611043e-05	3.864942e+00
1.821812499611043e-05	3.722409e+00
1.870640624611043e-05	3.583975e+00
1.919468749611043e-05	3.449957e+00
1.968296874611043e-05	3.320614e+00
2.017124999611043e-05	3.196153e+00
2.065953124611043e-05	3.076733e+00
2.114781249611043e-05	2.962471e+00
2.163609374611043e-05	2.853443e+00
2.212437499611043e-05	2.749688e+00
2.261265624611043e-05	2.651215e+00
2.310093749611044e-05	2.558002e+00
2.358921874611044e-05	2.470001e+00
2.407749999611044e-05	2.387144e+00
2.456578124611044e-05	2.309337e+00
2.505406249611044e-05	2.236475e+00
2.554234374611044e-05	2.168432e+00
2.603062499611044e-05	2.105072e+00
2.651890624611044e-05	2.046249e+00
2.700718749611044e-05	1.991805e+00
2.749546874611044e-05	1.941577e+00
2.798374999611044e-05	1.895395e+00
2.847203124611044e-05	1.853087e+00
2.896031249611044e-05	1.814476e+00
2.944859374611044e-05	1.779385e+00
2.993687499611044e-05	1.747636e+00
3.042515624611044e-05	1.719052e+00
3.091343749611044e-05	1.693455e+00
3.140171874611044e-05	1.670674e+00
3.188999999611044e-05	1.650537e+00
3.237828124611044e-05	1.632877e+00
3.286656249611044e-05	1.617532e+00
3.335484374611044e-05	1.604342e+00
3.384312499611044e-05	1.593155e+00
3.433140624611044e-05	1.583822e+00
3.481968749611044e-05	1.576199e+00
3.530796874611044e-05	1.570151e+00
3.579624999611044e-05	1.565546e+00
3.628453124611044e-05	1.562258e+00
3.677281249611044e-05	1.560168e+00
3.726109374611044e-05	1.559163e+00
3.774937499611044e-05	1.559134e+00
3.823765624611045e-05	1.559982e+00
3.872593749611045e-05	1.561610e+00
3.921421874611045e-05	1.563928e+00
3.970249999611045e-05	1.566851e+00
4.019078124611045e-05	1.570302e+00
4.067906249611045e-05	1.574208e+00
4.116734374611045e-05	1.578498e+00
4.165562499611045e-05	1.583112e+00
4.214390624611045e-05	1.587990e+00
4.263218749611045e-05	1.593078e+00
4.312046874611045e-05	1.598328e+00
4.360874999611045e-05	1.603695e+00
4.409703124611045e-05	1.609137e+00
4.458531249611045e-05	1.614618e+00
4.507359374611045e-05	1.620104e+00
4.556187499611045e-05	1.625566e+00
4.605015624611045e-05	1.630976e+00
4.653843749611045e-05	1.636311e+00
4.702671874611045e-05	1.641550e+00
4.751499999611045e-05	1.646675e+00
4.800328124611045e-05	1.651670e+00
4.849156249611045e-05	1.656522e+00
4.897984374611045e-05	1.661221e+00
4.946812499611046e-05	1.665756e+00
4.995640624611046e-05	1.670120e+00
5.044468749611046e-05	1.674309e+00
5.093296874611046e-05	1.678316e+00
5.142124999611046e-05	1.682141e+00
5.190953124611046e-05	1.685782e+00
5.239781249611046e-05	1.689237e+00
5.288609374611046e-05	1.692508e+00
5.337437499611046e-05	1.695597e+00
5.386265624611046e-05	1.698506e+00
5.435093749611046e-05	1.701237e+00
5.483921874611046e-05	1.703796e+00
5.532749999611046e-05	1.706185e+00
5.581578124611046e-05	1.708411e+00
5.630406249611046e-05	1.710477e+00
5.679234374611046e-05	1.712390e+00
5.728062499611046e-05	1.714154e+00
5.776890624611046e-05	1.715778e+00
5.825718749611046e-05	1.717265e+00
5.874546874611046e-05	1.718622e+00
5.923374999611046e-05	1.719856e+00
5.972203124611046e-05	1.720973e+00
6.021031249611046e-05	1.721978e+00
6.069859374611047e-05	1.722879e+00
6.118687499611046e-05	1.723681e+00
6.167515624611046e-05	1.724390e+00
6.216343749611046e-05	1.725012e+00
6.265171874611046e-05	1.725553e+00
6.313999999611046e-05	1.726018e+00
6.362828124611046e-05	1.726413e+00
6.411656249611046e-05	1.726742e+00
6.460484374611046e-05	1.727012e+00
6.509312499611046e-05	1.727226e+00
6.558140624611046e-05	1.727390e+00
6.606968749611046e-05	1.727507e+00
6.655796874611046e-05	1.727582e+00
6.704624999611046e-05	1.727619e+00
6.753453124611046e-05	1.727621e+00
6.802281249611046e-05	1.727593e+00
6.851109374611047e-05	1.727537e+00
6.899937499611047e-05	1.727457e+00
6.948765624611047e-05	1.727356e+00
6.997593749611047e-05	1.727236e+00
7.046421874611047e-05	1.727100e+00
7.095249999611047e-05	1.726950e+00
7.144078124611047e-05	1.726789e+00
7.192906249611047e-05	1.726619e+00
7.241734374611047e-05	1.726441e+00
7.290562499611047e-05	1.726258e+00
7.339390624611047e-05	1.726070e+00
7.388218749611047e-05	1.725880e+00
7.437046874611047e-05	1.725688e+00
7.485874999611047e-05	1.725496e+00
7.534703124611047e-05	1.725304e+00
7.583531249611047e-05	1.725115e+00
7.632359374611047e-05	1.724928e+00
7.681187499611047e-05	1.724745e+00
7.730015624611047e-05	1.724565e+00
7.778843749611047e-05	1.724390e+00
7.827671874611047e-05	1.724220e+00
7.876499999611047e-05	1.724055e+00
7.925328124611047e-05	1.723896e+00
7.974156249611048e-05	1.723743e+00
8.022984374611048e-05	1.723596e+00
8.071812499611048e-05	1.723456e+00
8.120640624611048e-05	1.723321e+00
8.169468749611048e-05	1.723194e+00
8.218296874611048e-05	1.723072e+00
8.267124999611048e-05	1.722958e+00
8.315953124611048e-05	1.722849e+00
8.364781249611048e-05	1.722747e+00
8.413609374611048e-05	1.722651e+00
8.462437499611048e-05	1.722561e+00
8.511265624611048e-05	1.722478e+00
8.560093749611048e-05	1.722399e+00
8.608921874611048e-05	1.722327e+00
8.657749999611048e-05	1.722260e+00
8.706578124611048e-05	1.722198e+00
8.755406249611048e-05	1.722141e+00
8.804234374611048e-05	1.722088e+00
8.853062499611048e-05	1.722041e+00
8.901890624611048e-05	1.721997e+00
8.950718749611048e-05	1.721958e+00
8.999546874611048e-05	1.721923e+00
9.048374999611048e-05	1.721891e+00
9.097203124611049e-05	1.721863e+00
9.146031249611049e-05	1.721838e+00
