#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,1.0000,-0.12,-0.40
2,109.0,1.0000,-0.12,-0.35
3,118.9,1.0000,-0.10,-0.29
4,129.6,1.0000,-0.10,-0.29
5,141.3,1.0000,-0.08,-0.29
6,154.0,1.0000,-0.07,-0.29
7,167.9,1.0000,-0.07,-0.35
8,183.0,1.0000,-0.06,-0.40
9,199.5,1.0000,-0.05,-0.40
10,217.5,1.0000,-0.04,-0.45
11,237.1,1.0000,-0.05,-0.50
12,258.5,1.0000,-0.04,-0.57
13,281.8,1.0000,-0.04,-0.57
14,307.3,1.0000,-0.05,-0.69
15,335.0,1.0000,-0.05,-0.74
16,365.2,1.0000,-0.04,-0.80
17,398.1,1.0000,-0.04,-0.91
18,434.0,1.0000,-0.05,-0.98
19,473.2,1.0000,-0.05,-1.03
20,515.8,1.0000,-0.05,-1.15
21,562.3,1.0000,-0.05,-1.26
22,613.1,1.0000,-0.05,-1.37
23,668.3,1.0000,-0.07,-1.49
24,728.6,1.0000,-0.07,-1.60
25,794.3,1.0000,-0.06,-1.72
26,866.0,1.0000,-0.07,-1.87
27,944.1,1.0000,-0.08,-2.05
28,1029.2,1.0000,-0.10,-2.19
29,1122.0,1.0000,-0.10,-2.33
30,1223.2,1.0000,-0.12,-2.53
31,1333.5,1.0000,-0.13,-2.69
32,1453.8,1.0000,-0.15,-2.88
33,1584.9,1.0000,-0.15,-3.10
34,1727.8,1.0000,-0.17,-3.31
35,1883.6,1.0000,-0.20,-3.49
36,2053.5,1.0000,-0.21,-3.74
37,2238.7,1.0000,-0.22,-3.95
38,2440.6,1.0000,-0.23,-4.24
39,2660.7,1.0000,-0.26,-4.53
40,2900.7,1.0000,-0.28,-4.81
41,3162.3,1.0000,-0.29,-5.19
42,3447.5,1.0000,-0.31,-5.52
43,3758.4,1.0000,-0.33,-5.96
44,4097.3,1.0000,-0.34,-6.46
45,4466.8,1.0000,-0.37,-6.94
46,4869.7,1.0000,-0.39,-7.54
47,5308.8,1.0000,-0.42,-8.20
48,5787.6,1.0000,-0.45,-8.98
49,6309.6,1.0000,-0.50,-9.90
50,6878.6,1.0000,-0.55,-10.87
51,7498.9,1.0000,-0.61,-12.13
52,8175.2,1.0000,-0.70,-13.51
53,8912.5,1.0000,-0.82,-15.29
54,9716.3,1.0000,-0.98,-17.34
55,10592.5,1.0000,-1.23,-19.94
56,11547.8,1.0000,-1.57,-23.15
57,12589.3,1.0000,-2.18,-27.20
58,13724.6,1.0000,-3.25,-32.02
59,14962.4,1.0000,-5.13,-36.62
60,16311.7,1.0000,-8.66,-34.88
61,17782.8,1.0000,-12.61,-0.74
62,19386.5,1.0000,-8.86,35.09
63,21134.9,1.0000,-5.23,37.30
64,23040.9,1.0000,-3.31,32.95
65,25118.9,1.0000,-2.25,28.25
66,27384.2,1.0000,-1.61,24.28
67,29853.8,1.0000,-1.19,21.01
68,32546.2,1.0000,-0.94,18.39
69,35481.3,1.0000,-0.75,16.38
70,38681.2,1.0000,-0.62,14.56
71,42169.7,1.0000,-0.52,13.10
72,45972.7,1.0000,-0.45,11.84
73,50118.7,1.0000,-0.38,10.76
74,54638.7,1.0000,-0.34,9.80
75,59566.2,1.0000,-0.31,9.05
76,64938.2,1.0000,-0.27,8.32
77,70794.6,1.0000,-0.24,7.73
78,77179.2,1.0000,-0.23,7.12
79,84139.5,1.0000,-0.20,6.65
80,91727.6,1.0000,-0.20,6.20
81,100000.0,1.0000,-0.18,5.90
