Freq.	V(n002)
1.00000000000000e+02	(-4.49648490564250e-05dB,-1.47604100646573e-01°)
1.02920052719443e+02	(-4.76293505109599e-05dB,-1.51914468281821e-01°)
1.05925372517729e+02	(-5.04517539479824e-05dB,-1.56350723478257e-01°)
1.09018449238513e+02	(-5.34414181051166e-05dB,-1.60916544252798e-01°)
1.12201845430196e+02	(-5.66082566140381e-05dB,-1.65615716207471e-01°)
1.15478198468946e+02	(-5.99627708206525e-05dB,-1.70452135684112e-01°)
1.18850222743702e+02	(-6.35160847252514e-05dB,-1.75429813017344e-01°)
1.22320711904993e+02	(-6.72799818710397e-05dB,-1.80552875886428e-01°)
1.25892541179417e+02	(-7.12669445234272e-05dB,-1.85825572756428e-01°)
1.29568669751702e+02	(-7.54901950909590e-05dB,-1.91252276435999e-01°)
1.33352143216332e+02	(-7.99637400772520e-05dB,-1.96837487726945e-01°)
1.37246096100756e+02	(-8.47024165784757e-05dB,-2.02585839193514e-01°)
1.41253754462276e+02	(-8.97219416350460e-05dB,-2.08502099041825e-01°)
1.45378438560766e+02	(-9.50389644077316e-05dB,-2.14591175108751e-01°)
1.49623565609443e+02	(-1.00671121549545e-04dB,-2.20858118978650e-01°)
1.53992652605949e+02	(-1.06637095836216e-04dB,-2.27308130217065e-01°)
1.58489319246112e+02	(-1.12956678246319e-04dB,-2.33946560739157e-01°)
1.63117290922784e+02	(-1.19650833839324e-04dB,-2.40778919304187e-01°)
1.67880401812256e+02	(-1.26741771428847e-04dB,-2.47810876142049e-01°)
1.72782598050787e+02	(-1.34253017464012e-04dB,-2.55048267726366e-01°)
1.77827941003892e+02	(-1.42209494387237e-04dB,-2.62497101690270e-01°)
1.83020610631106e+02	(-1.50637603479258e-04dB,-2.70163561892065e-01°)
1.88364908948980e+02	(-1.59565312859969e-04dB,-2.78054013624629e-01°)
1.93865263595221e+02	(-1.69022250497800e-04dB,-2.86175009003435e-01°)
1.99526231496888e+02	(-1.79039803020677e-04dB,-2.94533292498682e-01°)
2.05352502645715e+02	(-1.89651220186185e-04dB,-3.03135806647376e-01°)
2.11348903983665e+02	(-2.00891725777062e-04dB,-3.11989697941048e-01°)
2.17520403401953e+02	(-2.12798634961045e-04dB,-3.21102322888943e-01°)
2.23872113856834e+02	(-2.25411478803178e-04dB,-3.30481254272739e-01°)
2.30409297605585e+02	(-2.38772136096071e-04dB,-3.40134287594170e-01°)
2.37137370566166e+02	(-2.52924973176098e-04dB,-3.50069447720434e-01°)
2.44061906804198e+02	(-2.67916992027142e-04dB,-3.60294995738596e-01°)
2.51188643150958e+02	(-2.83797987287986e-04dB,-3.70819436024149e-01°)
2.58523483956220e+02	(-3.00620712678271e-04dB,-3.81651523533613e-01°)
2.66072505979881e+02	(-3.18441057333001e-04dB,-3.92800271320244e-01°)
2.73841963426437e+02	(-3.37318232817279e-04dB,-4.04274958292548e-01°)
2.81838293126446e+02	(-3.57314971274888e-04dB,-4.16085137220654e-01°)
2.90068119869316e+02	(-3.78497735483681e-04dB,-4.28240642996173e-01°)
2.98538261891797e+02	(-4.00936941620812e-04dB,-4.40751601153722e-01°)
3.07255736526745e+02	(-4.24707195360751e-04dB,-4.53628436672059e-01°)
3.16227766016839e+02	(-4.49887542140398e-04dB,-4.66881883060384e-01°)
3.25461783498047e+02	(-4.76561732670866e-04dB,-4.80522991736525e-01°)
3.34965439157828e+02	(-5.04818504306125e-04dB,-4.94563141716460e-01°)
3.44746606573150e+02	(-5.34751879447038e-04dB,-5.09014049621485e-01°)
3.54813389233576e+02	(-5.66461482090279e-04dB,-5.23887780020253e-01°)
3.65174127254839e+02	(-6.00052873366791e-04dB,-5.39196756109677e-01°)
3.75837404288445e+02	(-6.35637907568816e-04dB,-5.54953770764962e-01°)
3.86812054633053e+02	(-6.73335109669290e-04dB,-5.71171997955448e-01°)
3.98107170553498e+02	(-7.13270075859785e-04dB,-5.87865004555886e-01°)
4.09732109813543e+02	(-7.55575898452488e-04dB,-6.05046762560604e-01°)
4.21696503428583e+02	(-8.00393616621704e-04dB,-6.22731661723643e-01°)
4.34010263644745e+02	(-8.47872694761126e-04dB,-6.40934522641139e-01°)
4.46683592150964e+02	(-8.98171529951491e-04dB,-6.59670610295935e-01°)
4.59726988530874e+02	(-9.51457990717104e-04dB,-6.78955648082025e-01°)
4.73151258961482e+02	(-1.00790998864909e-03dB,-6.98805832339645e-01°)
4.86967525165865e+02	(-1.06771608533777e-03dB,-7.19237847411299e-01°)
5.01187233627274e+02	(-1.13107613659797e-03dB,-7.40268881256817e-01°)
5.15822165072307e+02	(-1.19820197657564e-03dB,-7.61916641644667e-01°)
5.30884444230990e+02	(-1.26931814418129e-03dB,-7.84199372951612e-01°)
5.46386549881856e+02	(-1.34466265460371e-03dB,-8.07135873601168e-01°)
5.62341325190351e+02	(-1.42448781881903e-03dB,-8.30745514168779e-01°)
5.78761988349123e+02	(-1.50906111428381e-03dB,-8.55048256195366e-01°)
5.95662143529012e+02	(-1.59866611011974e-03dB,-8.80064671737031e-01°)
6.13055792149823e+02	(-1.69360345028433e-03dB,-9.05815963695729e-01°)
6.30957344480196e+02	(-1.79419189876292e-03dB,-9.32323986972409e-01°)
6.49381631576214e+02	(-1.90076945077757e-03dB,-9.59611270484925e-01°)
6.68343917568617e+02	(-2.01369451437782e-03dB,-9.87701040100922e-01°)
6.87859912308810e+02	(-2.13334716732801e-03dB,-1.01661724253450e+00°)
7.07945784384141e+02	(-2.26013049424501e-03dB,-1.04638457026703e+00°)
7.28618174513231e+02	(-2.39447200950476e-03dB,-1.07702848754445e+00°)
7.49894209332459e+02	(-2.53682517186858e-03dB,-1.10857525752398e+00°)
7.71791515585015e+02	(-2.68767099707498e-03dB,-1.14105197062834e+00°)
7.94328234724285e+02	(-2.84751977532915e-03dB,-1.17448657419204e+00°)
8.17523037943653e+02	(-3.01691290096657e-03dB,-1.20890790347253e+00°)
8.41395141645198e+02	(-3.19642482230726e-03dB,-1.24434571411595e+00°)
8.65964323360069e+02	(-3.38666512028248e-03dB,-1.28083071616845e+00°)
8.91250938133749e+02	(-3.58828072507751e-03dB,-1.31839460973595e+00°)
9.17275935389784e+02	(-3.80195828076766e-03dB,-1.35707012239859e+00°)
9.44060876285928e+02	(-4.02842666901797e-03dB,-1.39689104849975e+00°)
9.71627951577110e+02	(-4.26845970336842e-03dB,-1.43789229043465e+00°)
1.00000000000000e+03	(-4.52287900697788e-03dB,-1.48010990207834e+00°)
1.02920052719443e+03	(-4.79255708778012e-03dB,-1.52358113450218e+00°)
1.05925372517729e+03	(-5.07842062591683e-03dB,-1.56834448413965e+00°)
1.09018449238513e+03	(-5.38145399001318e-03dB,-1.61443974357922e+00°)
1.12201845430197e+03	(-5.70270299997257e-03dB,-1.66190805517414e+00°)
1.15478198468946e+03	(-6.04327895594093e-03dB,-1.71079196767863e+00°)
1.18850222743702e+03	(-6.40436295441367e-03dB,-1.76113549613356e+00°)
1.22320711904994e+03	(-6.78721051487109e-03dB,-1.81298418525151e+00°)
1.25892541179417e+03	(-7.19315654225306e-03dB,-1.86638517656472e+00°)
1.29568669751703e+03	(-7.62362065288360e-03dB,-1.92138727963156e+00°)
1.33352143216333e+03	(-8.08011289451949e-03dB,-1.97804104761741e+00°)
1.37246096100757e+03	(-8.56423989371766e-03dB,-2.03639885759801e+00°)
1.41253754462276e+03	(-9.07771146726523e-03dB,-2.09651499596429e+00°)
1.45378438560767e+03	(-9.62234773813443e-03dB,-2.15844574934253e+00°)
1.49623565609444e+03	(-1.02000868002458e-02dB,-2.22224950148415e+00°)
1.53992652605950e+03	(-1.08129929811963e-02dB,-2.28798683661758e+00°)
1.58489319246112e+03	(-1.14632657570620e-02dB,-2.35572064980843e+00°)
1.63117290922785e+03	(-1.21532493790567e-02dB,-2.42551626491816e+00°)
1.67880401812257e+03	(-1.28854432783853e-02dB,-2.49744156081647e+00°)
1.72782598050787e+03	(-1.36625133227544e-02dB,-2.57156710655825e+00°)
1.77827941003893e+03	(-1.44873040058927e-02dB,-2.64796630631310e+00°)
1.83020610631107e+03	(-1.53628516609203e-02dB,-2.72671555490676e+00°)
1.88364908948981e+03	(-1.62923987982053e-02dB,-2.80789440492399e+00°)
1.93865263595222e+03	(-1.72794096802795e-02dB,-2.89158574641456e+00°)
1.99526231496889e+03	(-1.83275872591021e-02dB,-2.97787600035210e+00°)
2.05352502645716e+03	(-1.94408916159381e-02dB,-3.06685532711082e+00°)
2.11348903983666e+03	(-2.06235600608181e-02dB,-3.15861785135588e+00°)
2.17520403401954e+03	(-2.18801290674401e-02dB,-3.25326190489242e+00°)
2.23872113856835e+03	(-2.32154582409675e-02dB,-3.35089028917044e+00°)
2.30409297605586e+03	(-2.46347565408272e-02dB,-3.45161055933691e+00°)
2.37137370566167e+03	(-2.61436110085035e-02dB,-3.55553533191410e+00°)
2.44061906804200e+03	(-2.77480182822094e-02dB,-3.66278261842047e+00°)
2.51188643150960e+03	(-2.94544192171445e-02dB,-3.77347618749250e+00°)
2.58523483956221e+03	(-3.12697369715841e-02dB,-3.88774595835720e+00°)
2.66072505979883e+03	(-3.32014189673353e-02dB,-4.00572842881488e+00°)
2.73841963426438e+03	(-3.52574831883502e-02dB,-4.12756714125161e+00°)
2.81838293126447e+03	(-3.74465693447369e-02dB,-4.25341319059985e+00°)
2.90068119869317e+03	(-3.97779955030927e-02dB,-4.38342577861541e+00°)
2.98538261891798e+03	(-4.22618208689381e-02dB,-4.51777281934669e+00°)
3.07255736526747e+03	(-4.49089155052047e-02dB,-4.65663160124463e+00°)
3.16227766016840e+03	(-4.77310378853837e-02dB,-4.80018951200892e+00°)
3.25461783498048e+03	(-5.07409213122237e-02dB,-4.94864483299626e+00°)
3.34965439157830e+03	(-5.39523703882643e-02dB,-5.10220761084645e+00°)
3.44746606573152e+03	(-5.73803689050759e-02dB,-5.26110061491966e+00°)
3.54813389233578e+03	(-6.10412007301573e-02dB,-5.42556039020477e+00°)
3.65174127254840e+03	(-6.49525855191279e-02dB,-5.59583841657094e+00°)
3.75837404288447e+03	(-6.91338313733320e-02dB,-5.77220238661012e+00°)
3.86812054633055e+03	(-7.36060069083042e-02dB,-5.95493761589058e+00°)
3.98107170553500e+03	(-7.83921356067486e-02dB,-6.14434860122792e+00°)
4.09732109813545e+03	(-8.35174158131611e-02dB,-6.34076074462252e+00°)
4.21696503428585e+03	(-8.90094703032218e-02dB,-6.54452226284270e+00°)
4.34010263644747e+03	(-9.48986300462623e-02dB,-6.75600630529473e+00°)
4.46683592150966e+03	(-1.01218257599646e-01dB,-6.97561330586650e+00°)
4.59726988530876e+03	(-1.08005116556757e-01dB,-7.20377359790961e+00°)
4.73151258961484e+03	(-1.15299794653486e-01dB,-7.44095032550590e+00°)
4.86967525165867e+03	(-1.23147189564816e-01dB,-7.68764268870981e+00°)
5.01187233627276e+03	(-1.31597068150545e-01dB,-7.94438956565415e+00°)
5.15822165072310e+03	(-1.40704712007767e-01dB,-8.21177356032585e+00°)
5.30884444230992e+03	(-1.50531664743808e-01dB,-8.49042553156286e+00°)
5.46386549881858e+03	(-1.61146599511247e-01dB,-8.78102966646658e+00°)
5.62341325190353e+03	(-1.72626329184843e-01dB,-9.08432917006909e+00°)
5.78761988349125e+03	(-1.85056986289585e-01dB,-9.40113265279489e+00°)
5.95662143529015e+03	(-1.98535405638585e-01dB,-9.73232130807005e+00°)
6.13055792149826e+03	(-2.13170749903164e-01dB,-1.00788569843312e+01°)
6.30957344480198e+03	(-2.29086427392942e-01dB,-1.04417912685770e+01°)
6.49381631576217e+03	(-2.46422362662638e-01dB,-1.08222757122235e+01°)
6.68343917568620e+03	(-2.65337694817732e-01dB,-1.12215733438763e+01°)
6.87859912308813e+03	(-2.86013996395443e-01dB,-1.16410716268474e+01°)
7.07945784384144e+03	(-3.08659128535925e-01dB,-1.20822970303598e+01°)
7.28618174513234e+03	(-3.33511877263449e-01dB,-1.25469313900470e+01°)
7.49894209332462e+03	(-3.60847552958747e-01dB,-1.30368302318421e+01°)
7.71791515585019e+03	(-3.90984783034581e-01dB,-1.35540432178121e+01°)
7.94328234724288e+03	(-4.24293789773953e-01dB,-1.41008368338823e+01°)
8.17523037943657e+03	(-4.61206525735891e-01dB,-1.46797193637114e+01°)
8.41395141645202e+03	(-5.02229144100428e-01dB,-1.52934680586506e+01°)
8.65964323360073e+03	(-5.47957418927958e-01dB,-1.59451581875340e+01°)
8.91250938133753e+03	(-5.99095911527767e-01dB,-1.66381932807306e+01°)
9.17275935389788e+03	(-6.56481918836046e-01dB,-1.73763352912111e+01°)
9.44060876285932e+03	(-7.21115558077846e-01dB,-1.81637324583956e+01°)
9.71627951577115e+03	(-7.94197766407708e-01dB,-1.90049411866729e+01°)
1.00000000000001e+04	(-8.77178561780751e-01dB,-1.99049359396040e+01°)
1.02920052719444e+04	(-9.71818672033475e-01dB,-2.08690975299380e+01°)
1.05925372517730e+04	(-1.08026866005290e+00dB,-2.19031645037498e+01°)
1.09018449238514e+04	(-1.20517104258117e+00dB,-2.30131233722724e+01°)
1.12201845430197e+04	(-1.34979273339855e+00dB,-2.42049992940807e+01°)
1.15478198468947e+04	(-1.51819758185434e+00dB,-2.54844862734918e+01°)
1.18850222743703e+04	(-1.71547199313392e+00dB,-2.68563197358666e+01°)
1.22320711904994e+04	(-1.94802077776442e+00dB,-2.83232355172032e+01°)
1.25892541179418e+04	(-2.22395558771684e+00dB,-2.98842623056975e+01°)
1.29568669751703e+04	(-2.55360439332758e+00dB,-3.15319314257845e+01°)
1.33352143216334e+04	(-2.95017645100576e+00dB,-3.32477060910778e+01°)
1.37246096100758e+04	(-3.43061960991294e+00dB,-3.49944283700524e+01°)
1.41253754462277e+04	(-4.01669423769588e+00dB,-3.67036407318848e+01°)
1.45378438560768e+04	(-4.73622310682237e+00dB,-3.82537904869335e+01°)
1.49623565609445e+04	(-5.62423105615015e+00dB,-3.94315226352484e+01°)
1.53992652605951e+04	(-6.72280196567992e+00dB,-3.98602883157129e+01°)
1.58489319246113e+04	(-8.07524516309469e+00dB,-3.88650419832196e+01°)
1.63117290922785e+04	(-9.69837311328589e+00dB,-3.52266751028899e+01°)
1.67880401812258e+04	(-1.14794992470225e+01dB,-2.68933448588618e+01°)
1.72782598050788e+04	(-1.29115748589725e+01dB,-1.16998873386555e+01°)
1.77827941003894e+04	(-1.30618492795686e+01dB,8.15384388777798e+00°)
