time	V(N001,N002)	V(N002,N003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765625114122045e-11	3.026736e-15	3.067961e-08
1.953125022824409e-10	9.049527e-15	6.135922e-08
3.906250045648818e-10	2.708722e-14	1.227184e-07
7.812500091297636e-10	9.911526e-14	2.454368e-07
1.562500018259527e-09	3.869819e-13	4.908734e-07
3.125000036519054e-09	1.537957e-12	9.817462e-07
6.250000073038109e-09	6.140869e-12	1.963489e-06
1.250000014607622e-08	2.455051e-11	3.926966e-06
2.500000029215244e-08	9.818475e-11	7.853883e-06
5.000000058430487e-08	3.927108e-10	1.570757e-05
1.000000011686097e-07	1.570775e-09	3.141435e-05
2.000000023372195e-07	6.282802e-09	6.282557e-05
4.000000046744390e-07	2.512928e-08	1.256386e-04
8.000000093488779e-07	1.005025e-07	2.512269e-04
1.600000018697756e-06	4.018947e-07	5.022529e-04
3.200000037395512e-06	1.606660e-06	1.003703e-03
6.400000074791024e-06	6.419302e-06	2.004199e-03
1.280000014958205e-05	2.561868e-05	3.995609e-03
2.256562514958205e-05	7.935591e-05	7.009785e-03
3.233125014958205e-05	1.623850e-04	9.994602e-03
4.209687514958205e-05	2.744205e-04	1.295032e-02
5.186250014958205e-05	4.151795e-04	1.587718e-02
6.162812514958205e-05	5.843814e-04	1.877546e-02
7.139375014958204e-05	7.817481e-04	2.164538e-02
8.115937514958204e-05	1.007004e-03	2.448720e-02
9.092500014958204e-05	1.259876e-03	2.730117e-02
1.006906251495820e-04	1.540093e-03	3.008753e-02
1.104562501495820e-04	1.847386e-03	3.284651e-02
1.202218751495820e-04	2.181490e-03	3.557835e-02
1.299875001495820e-04	2.542140e-03	3.828329e-02
1.397531251495820e-04	2.929075e-03	4.096156e-02
1.495187501495820e-04	3.342036e-03	4.361339e-02
1.592843751495820e-04	3.780765e-03	4.623901e-02
1.690500001495821e-04	4.245007e-03	4.883865e-02
1.788156251495821e-04	4.734511e-03	5.141253e-02
1.885812501495821e-04	5.249024e-03	5.396087e-02
1.983468751495821e-04	5.788300e-03	5.648389e-02
2.081125001495821e-04	6.352092e-03	5.898181e-02
2.178781251495821e-04	6.940154e-03	6.145484e-02
2.276437501495821e-04	7.552247e-03	6.390320e-02
2.374093751495821e-04	8.188129e-03	6.632710e-02
2.471750001495821e-04	8.847564e-03	6.872674e-02
2.569406251495821e-04	9.530314e-03	7.110233e-02
2.667062501495821e-04	1.023615e-02	7.345409e-02
2.764718751495821e-04	1.096483e-02	7.578221e-02
2.862375001495821e-04	1.171613e-02	7.808689e-02
2.960031251495821e-04	1.248983e-02	8.036833e-02
3.057687501495821e-04	1.328569e-02	8.262673e-02
3.155343751495822e-04	1.410349e-02	8.486229e-02
3.253000001495822e-04	1.494302e-02	8.707520e-02
3.350656251495822e-04	1.580404e-02	8.926564e-02
3.448312501495822e-04	1.668635e-02	9.143381e-02
3.545968751495822e-04	1.758972e-02	9.357991e-02
3.643625001495822e-04	1.851394e-02	9.570411e-02
3.741281251495822e-04	1.945880e-02	9.780659e-02
3.838937501495822e-04	2.042408e-02	9.988754e-02
3.936593751495822e-04	2.140958e-02	1.019471e-01
4.034250001495822e-04	2.241509e-02	1.039856e-01
4.131906251495822e-04	2.344040e-02	1.060030e-01
4.229562501495822e-04	2.448531e-02	1.079996e-01
4.327218751495823e-04	2.554962e-02	1.099756e-01
4.424875001495823e-04	2.663313e-02	1.119311e-01
4.522531251495823e-04	2.773563e-02	1.138664e-01
4.620187501495823e-04	2.885693e-02	1.157814e-01
4.717843751495823e-04	2.999683e-02	1.176765e-01
4.815500001495823e-04	3.115514e-02	1.195519e-01
4.913156251495823e-04	3.233167e-02	1.214075e-01
5.010812501495823e-04	3.352622e-02	1.232437e-01
5.108468751495823e-04	3.473861e-02	1.250606e-01
5.206125001495823e-04	3.596865e-02	1.268584e-01
5.303781251495823e-04	3.721615e-02	1.286371e-01
5.401437501495823e-04	3.848093e-02	1.303970e-01
5.499093751495823e-04	3.976280e-02	1.321383e-01
5.596750001495823e-04	4.106159e-02	1.338609e-01
5.694406251495823e-04	4.237710e-02	1.355653e-01
5.792062501495823e-04	4.370917e-02	1.372513e-01
5.889718751495823e-04	4.505762e-02	1.389194e-01
5.987375001495824e-04	4.642227e-02	1.405694e-01
6.085031251495824e-04	4.780294e-02	1.422017e-01
6.182687501495824e-04	4.919947e-02	1.438164e-01
6.280343751495824e-04	5.061167e-02	1.454135e-01
6.378000001495824e-04	5.203939e-02	1.469933e-01
6.475656251495824e-04	5.348245e-02	1.485559e-01
6.573312501495824e-04	5.494068e-02	1.501014e-01
6.670968751495824e-04	5.641393e-02	1.516300e-01
6.768625001495824e-04	5.790202e-02	1.531417e-01
6.866281251495824e-04	5.940478e-02	1.546368e-01
6.963937501495824e-04	6.092207e-02	1.561154e-01
7.061593751495824e-04	6.245371e-02	1.575775e-01
7.159250001495825e-04	6.399955e-02	1.590234e-01
7.256906251495825e-04	6.555943e-02	1.604532e-01
7.354562501495825e-04	6.713320e-02	1.618669e-01
7.452218751495825e-04	6.872069e-02	1.632648e-01
7.549875001495825e-04	7.032176e-02	1.646469e-01
7.647531251495825e-04	7.193623e-02	1.660134e-01
7.745187501495825e-04	7.356399e-02	1.673643e-01
7.842843751495825e-04	7.520485e-02	1.686999e-01
7.940500001495825e-04	7.685868e-02	1.700203e-01
8.038156251495825e-04	7.852533e-02	1.713254e-01
8.135812501495825e-04	8.020466e-02	1.726156e-01
8.233468751495826e-04	8.189651e-02	1.738908e-01
8.331125001495826e-04	8.360073e-02	1.751513e-01
8.343332032745825e-04	8.381472e-02	1.753077e-01
8.367746095245825e-04	8.424307e-02	1.756201e-01
8.416574220245825e-04	8.510207e-02	1.762421e-01
8.514230470245825e-04	8.682912e-02	1.774751e-01
8.611886720245825e-04	8.856814e-02	1.786937e-01
8.709542970245825e-04	9.031899e-02	1.798980e-01
8.807199220245825e-04	9.208153e-02	1.810880e-01
8.819406251495825e-04	9.230275e-02	1.812356e-01
8.843820313995824e-04	9.274556e-02	1.815305e-01
8.892648438995824e-04	9.363333e-02	1.821176e-01
8.990304688995825e-04	9.541741e-02	1.832812e-01
9.087960938995825e-04	9.721278e-02	1.844309e-01
9.185617188995825e-04	9.901932e-02	1.855668e-01
9.283273438995825e-04	1.008369e-01	1.866890e-01
9.380929688995825e-04	1.026653e-01	1.877976e-01
9.478585938995825e-04	1.045045e-01	1.888927e-01
9.576242188995825e-04	1.063544e-01	1.899745e-01
9.673898438995825e-04	1.082147e-01	1.910429e-01
9.771554688995825e-04	1.100854e-01	1.920981e-01
9.869210938995825e-04	1.119663e-01	1.931403e-01
9.966867188995825e-04	1.138574e-01	1.941695e-01
1.006452343899583e-03	1.157584e-01	1.951858e-01
1.016217968899583e-03	1.176693e-01	1.961893e-01
1.025983593899583e-03	1.195900e-01	1.971801e-01
1.035749218899583e-03	1.215202e-01	1.981584e-01
1.045514843899583e-03	1.234599e-01	1.991241e-01
1.055280468899583e-03	1.254090e-01	2.000774e-01
1.056501172024583e-03	1.256534e-01	2.001956e-01
1.056806347805833e-03	1.257145e-01	2.002252e-01
1.057416699368333e-03	1.258367e-01	2.002842e-01
1.058637402493333e-03	1.260813e-01	2.004022e-01
1.061078808743333e-03	1.265708e-01	2.006375e-01
1.061689160305833e-03	1.266933e-01	2.006962e-01
1.062909863430833e-03	1.269383e-01	2.008135e-01
1.063215039212083e-03	1.269996e-01	2.008428e-01
1.063825390774583e-03	1.271222e-01	2.009013e-01
1.065046093899583e-03	1.273675e-01	2.010183e-01
1.067487500149583e-03	1.278585e-01	2.012516e-01
1.072370312649582e-03	1.288423e-01	2.017160e-01
1.082135937649582e-03	1.308165e-01	2.026357e-01
1.091901562649582e-03	1.327997e-01	2.035434e-01
1.101667187649582e-03	1.347917e-01	2.044390e-01
1.111432812649582e-03	1.367923e-01	2.053228e-01
1.121198437649582e-03	1.388015e-01	2.061948e-01
1.130964062649582e-03	1.408192e-01	2.070551e-01
1.140729687649583e-03	1.428453e-01	2.079038e-01
1.150495312649583e-03	1.448795e-01	2.087409e-01
1.151716015774582e-03	1.451344e-01	2.088447e-01
1.154157422024582e-03	1.456445e-01	2.090518e-01
1.159040234524582e-03	1.466662e-01	2.094639e-01
1.168805859524582e-03	1.487156e-01	2.102797e-01
1.178571484524582e-03	1.507729e-01	2.110841e-01
1.188337109524582e-03	1.528380e-01	2.118774e-01
1.198102734524582e-03	1.549108e-01	2.126595e-01
1.207868359524582e-03	1.569911e-01	2.134306e-01
1.217633984524582e-03	1.590790e-01	2.141908e-01
1.227399609524582e-03	1.611742e-01	2.149400e-01
1.237165234524582e-03	1.632767e-01	2.156784e-01
1.246930859524582e-03	1.653863e-01	2.164062e-01
1.256696484524582e-03	1.675030e-01	2.171232e-01
1.266462109524582e-03	1.696266e-01	2.178297e-01
1.276227734524582e-03	1.717571e-01	2.185258e-01
1.285993359524582e-03	1.738943e-01	2.192114e-01
1.295758984524582e-03	1.760381e-01	2.198866e-01
1.305524609524582e-03	1.781886e-01	2.205516e-01
1.315290234524582e-03	1.803454e-01	2.212064e-01
1.325055859524582e-03	1.825086e-01	2.218511e-01
1.334821484524582e-03	1.846780e-01	2.224857e-01
1.344587109524582e-03	1.868536e-01	2.231103e-01
1.354352734524583e-03	1.890352e-01	2.237250e-01
1.364118359524583e-03	1.912228e-01	2.243299e-01
1.373883984524583e-03	1.934163e-01	2.249251e-01
1.383649609524583e-03	1.956155e-01	2.255105e-01
1.393415234524583e-03	1.978203e-01	2.260863e-01
1.403180859524583e-03	2.000308e-01	2.266525e-01
1.412946484524583e-03	2.022467e-01	2.272092e-01
1.414167187649583e-03	2.025241e-01	2.272781e-01
1.416608593899582e-03	2.030791e-01	2.274155e-01
1.421491406399582e-03	2.041901e-01	2.276886e-01
1.431257031399582e-03	2.064161e-01	2.282277e-01
1.441022656399582e-03	2.086472e-01	2.287575e-01
1.450788281399582e-03	2.108835e-01	2.292780e-01
1.452008984524582e-03	2.111635e-01	2.293424e-01
1.454450390774582e-03	2.117235e-01	2.294708e-01
1.459333203274582e-03	2.128445e-01	2.297259e-01
1.469098828274582e-03	2.150901e-01	2.302293e-01
1.478864453274582e-03	2.173407e-01	2.307236e-01
1.488630078274582e-03	2.195960e-01	2.312090e-01
1.498395703274582e-03	2.218560e-01	2.316854e-01
1.508161328274582e-03	2.241206e-01	2.321529e-01
1.517926953274582e-03	2.263898e-01	2.326116e-01
1.527692578274582e-03	2.286633e-01	2.330616e-01
1.537458203274582e-03	2.309412e-01	2.335028e-01
1.547223828274582e-03	2.332234e-01	2.339354e-01
1.556989453274582e-03	2.355098e-01	2.343595e-01
1.566755078274582e-03	2.378003e-01	2.347750e-01
1.576520703274582e-03	2.400947e-01	2.351820e-01
1.586286328274582e-03	2.423932e-01	2.355807e-01
1.596051953274582e-03	2.446954e-01	2.359710e-01
1.605817578274582e-03	2.470014e-01	2.363530e-01
1.615583203274582e-03	2.493112e-01	2.367268e-01
1.625348828274582e-03	2.516245e-01	2.370924e-01
1.635114453274582e-03	2.539413e-01	2.374498e-01
1.636335156399582e-03	2.542312e-01	2.374939e-01
1.638776562649582e-03	2.548111e-01	2.375818e-01
1.643659375149582e-03	2.559715e-01	2.377560e-01
1.653425000149582e-03	2.582947e-01	2.380983e-01
1.663190625149582e-03	2.606212e-01	2.384327e-01
1.672956250149582e-03	2.629511e-01	2.387592e-01
1.682721875149582e-03	2.652840e-01	2.390778e-01
1.692487500149582e-03	2.676200e-01	2.393886e-01
1.702253125149582e-03	2.699590e-01	2.396916e-01
1.712018750149582e-03	2.723009e-01	2.399869e-01
