time	I(L1)
0.000000000000000e+00	0.000000e+00
4.882812470324849e-12	4.458375e-09
9.765624940649698e-12	8.158938e-09
1.953124988129940e-11	1.556015e-08
3.906249976259879e-11	3.036308e-08
7.812499952519758e-11	5.997100e-08
1.562499990503952e-10	1.191951e-07
3.124999981007903e-10	2.376761e-07
6.249999962015806e-10	4.747696e-07
1.249999992403161e-09	9.494828e-07
2.499999984806323e-09	1.901013e-06
4.999999969612645e-09	3.812485e-06
9.999999939225290e-09	7.669052e-06
1.999999987845058e-08	1.551648e-05
3.999999975690116e-08	3.174695e-05
7.999999951380232e-08	6.633770e-05
1.599999990276046e-07	1.439383e-04
3.199999980552093e-07	3.320236e-04
6.399999961104186e-07	8.335334e-04
1.128281246110419e-06	1.895954e-03
1.616562496110419e-06	3.281524e-03
2.104843746110419e-06	4.949204e-03
2.593124996110419e-06	6.860709e-03
3.081406246110419e-06	8.980432e-03
3.569687496110419e-06	1.127535e-02
4.057968746110418e-06	1.371493e-02
4.546249996110419e-06	1.627106e-02
5.034531246110419e-06	1.891790e-02
5.522812496110420e-06	2.163184e-02
6.011093746110420e-06	2.439133e-02
6.499374996110420e-06	2.717685e-02
6.987656246110421e-06	2.997075e-02
7.475937496110421e-06	3.275719e-02
7.964218746110422e-06	3.552201e-02
8.452499996110422e-06	3.825261e-02
8.940781246110423e-06	4.093794e-02
9.429062496110423e-06	4.356829e-02
9.917343746110423e-06	4.613530e-02
1.040562499611042e-05	4.863176e-02
1.089390624611042e-05	5.105166e-02
1.138218749611042e-05	5.338996e-02
1.187046874611043e-05	5.564263e-02
1.235874999611043e-05	5.780650e-02
1.284703124611043e-05	5.987918e-02
1.333531249611043e-05	6.185907e-02
1.382359374611043e-05	6.374520e-02
1.431187499611043e-05	6.553721e-02
1.480015624611043e-05	6.723527e-02
1.528843749611043e-05	6.884006e-02
1.577671874611043e-05	7.035267e-02
1.626499999611043e-05	7.177459e-02
1.675328124611043e-05	7.310761e-02
1.724156249611043e-05	7.435384e-02
1.772984374611043e-05	7.551564e-02
1.821812499611043e-05	7.659554e-02
1.870640624611043e-05	7.759628e-02
1.919468749611043e-05	7.852073e-02
1.968296874611043e-05	7.937187e-02
2.017124999611043e-05	8.015275e-02
2.065953124611043e-05	8.086650e-02
2.114781249611043e-05	8.151627e-02
2.163609374611043e-05	8.210525e-02
2.212437499611043e-05	8.263658e-02
