Freq.	V(n006)
2.00000000000000e+01	(-2.99571420307375e+01dB,1.49227037431036e+02°)
2.04658598456151e+01	(-2.95981043535125e+01dB,1.48595188819862e+02°)
2.09425709610180e+01	(-2.92406076944636e+01dB,1.47953672119726e+02°)
2.14303861047521e+01	(-2.88846951641161e+01dB,1.47302521562363e+02°)
2.19295639228637e+01	(-2.85304099855751e+01dB,1.46641781597203e+02°)
2.24403690860393e+01	(-2.81777954108693e+01dB,1.45971507112300e+02°)
2.29630724299377e+01	(-2.78268946330981e+01dB,1.45291763623629e+02°)
2.34979510987906e+01	(-2.74777506946479e+01dB,1.44602627429647e+02°)
2.40452886923483e+01	(-2.71304063917890e+01dB,1.43904185728058e+02°)
2.46053754162476e+01	(-2.67849041760246e+01dB,1.43196536691835e+02°)
2.51785082358833e+01	(-2.64412860526105e+01dB,1.42479789501671e+02°)
2.57649910338627e+01	(-2.60995934767220e+01dB,1.41754064332241e+02°)
2.63651347711281e+01	(-2.57598672477905e+01dB,1.41019492289849e+02°)
2.69792576518331e+01	(-2.54221474025877e+01dB,1.40276215299328e+02°)
2.76076852920577e+01	(-2.50864731076743e+01dB,1.39524385938358e+02°)
2.82507508924551e+01	(-2.47528825518787e+01dB,1.38764167217730e+02°)
2.89087954149185e+01	(-2.44214128395047e+01dB,1.37995732306464e+02°)
2.95821677633641e+01	(-2.40920998849985e+01dB,1.37219264201139e+02°)
3.02712249687241e+01	(-2.37649783098332e+01dB,1.36434955339239e+02°)
3.09763323782496e+01	(-2.34400813423821e+01dB,1.35643007156820e+02°)
3.16978638492223e+01	(-2.31174407215660e+01dB,1.34843629591309e+02°)
3.24362019471786e+01	(-2.27970866050559e+01dB,1.34037040530799e+02°)
3.31917381487512e+01	(-2.24790474828072e+01dB,1.33223465211705e+02°)
3.39648730492349e+01	(-2.21633500966816e+01dB,1.32403135567224e+02°)
3.47560165749875e+01	(-2.18500193668855e+01dB,1.31576289529563e+02°)
3.55655882007784e+01	(-2.15390783259170e+01dB,1.30743170289403e+02°)
3.63940171721996e+01	(-2.12305480606656e+01dB,1.29904025516591e+02°)
3.72417427332573e+01	(-2.09244476632533e+01dB,1.29059106546486e+02°)
3.81092143592649e+01	(-2.06207941911422e+01dB,1.28208667536841e+02°)
3.89968919951609e+01	(-2.03196026369606e+01dB,1.27352964600441e+02°)
