Freq.	V(n003)
1.00000000000000e+02	(2.52362694013620e-04dB,-1.47607403845779e-01°)
1.02920052719443e+02	(2.67316298265343e-04dB,-1.51917889353750e-01°)
1.05925372517729e+02	(2.83155980575294e-04dB,-1.56354267798574e-01°)
1.09018449238513e+02	(2.99934246962485e-04dB,-1.60920217527339e-01°)
1.12201845430196e+02	(3.17706714947965e-04dB,-1.65619524497642e-01°)
1.15478198468946e+02	(3.36532297948839e-04dB,-1.70456085434621e-01°)
1.18850222743702e+02	(3.56473400628440e-04dB,-1.75433911090243e-01°)
1.22320711904993e+02	(3.77596125791350e-04dB,-1.80557129585715e-01°)
1.25892541179417e+02	(3.99970493604644e-04dB,-1.85829989872657e-01°)
1.29568669751702e+02	(4.23670673741389e-04dB,-1.91256865275457e-01°)
1.33352143216332e+02	(4.48775231331466e-04dB,-1.96842257160609e-01°)
1.37246096100756e+02	(4.75367387500448e-04dB,-2.02590798697383e-01°)
1.41253754462276e+02	(5.03535295336684e-04dB,-2.08507258750506e-01°)
1.45378438560766e+02	(5.33372332207507e-04dB,-2.14596545861584e-01°)
1.49623565609443e+02	(5.64977409447271e-04dB,-2.20863712385382e-01°)
1.53992652605949e+02	(5.98455300381705e-04dB,-2.27313958717963e-01°)
1.58489319246112e+02	(6.33916987806899e-04dB,-2.33952637673889e-01°)
1.63117290922784e+02	(6.71480032079280e-04dB,-2.40785258984798e-01°)
1.67880401812256e+02	(7.11268961036051e-04dB,-2.47817493934552e-01°)
1.72782598050787e+02	(7.53415683032395e-04dB,-2.55055180141750e-01°)
1.77827941003892e+02	(7.98059924485182e-04dB,-2.62504326478737e-01°)
1.83020610631106e+02	(8.45349693371922e-04dB,-2.70171118144219e-01°)
1.88364908948980e+02	(8.95441770211829e-04dB,-2.78061921892941e-01°)
1.93865263595221e+02	(9.48502228176417e-04dB,-2.86183291419168e-01°)
1.99526231496888e+02	(1.00470698406262e-03dB,-2.94541972908868e-01°)
2.05352502645715e+02	(1.06424238196247e-03dB,-3.03144910763674e-01°)
2.11348903983665e+02	(1.12730581152734e-03dB,-3.11999253494666e-01°)
2.17520403401953e+02	(1.19410636296064e-03dB,-3.21112359809708e-01°)
2.23872113856834e+02	(1.26486552088613e-03dB,-3.30491804875180e-01°)
2.30409297605585e+02	(1.33981789932799e-03dB,-3.40145386785065e-01°)
2.37137370566166e+02	(1.41921202041232e-03dB,-3.50081133222003e-01°)
2.44061906804198e+02	(1.50331113922562e-03dB,-3.60307308335326e-01°)
2.51188643150958e+02	(1.59239411765465e-03dB,-3.70832419827969e-01°)
2.58523483956220e+02	(1.68675635014027e-03dB,-3.81665226273418e-01°)
2.66072505979881e+02	(1.78671074437702e-03dB,-3.92814744659352e-01°)
2.73841963426437e+02	(1.89258876024990e-03dB,-4.04290258172747e-01°)
2.81838293126446e+02	(2.00474151050957e-03dB,-4.16101324238640e-01°)
2.90068119869316e+02	(2.12354092681326e-03dB,-4.28257782808529e-01°)
2.98538261891797e+02	(2.24938099505178e-03dB,-4.40769764928070e-01°)
3.07255736526745e+02	(2.38267906408493e-03dB,-4.53647701569170e-01°)
3.16227766016839e+02	(2.52387723226468e-03dB,-4.66902332763752e-01°)
3.25461783498047e+02	(2.67344381636601e-03dB,-4.80544717031381e-01°)
3.34965439157828e+02	(2.83187490788168e-03dB,-4.94586241114432e-01°)
3.44746606573150e+02	(2.99969602185051e-03dB,-5.09038630050478e-01°)
3.54813389233576e+02	(3.17746384375160e-03dB,-5.23913957567827e-01°)
