Freq.	V(n002)
1.00000000000000e+02	(-2.88241036178040e-05dB,-1.47604451750213e-01°)
1.02920052719443e+02	(-3.05321502657172e-05dB,-1.51914851049609e-01°)
1.05925372517729e+02	(-3.23414185997114e-05dB,-1.56351140767996e-01°)
1.09018449238513e+02	(-3.42579080366657e-05dB,-1.60916999178893e-01°)
1.12201845430196e+02	(-3.62879736866095e-05dB,-1.65616212164173e-01°)
1.15478198468946e+02	(-3.84383474438591e-05dB,-1.70452676371036e-01°)
1.18850222743702e+02	(-4.07161603473671e-05dB,-1.75430402471228e-01°)
1.22320711904993e+02	(-4.31289662710573e-05dB,-1.80553518503391e-01°)
1.25892541179417e+02	(-4.56847669914172e-05dB,-1.85826273334158e-01°)
1.29568669751702e+02	(-4.83920387828099e-05dB,-1.91253040200445e-01°)
1.33352143216332e+02	(-5.12597605819965e-05dB,-1.96838320378713e-01°)
1.37246096100756e+02	(-5.42974438009756e-05dB,-2.02586746945558e-01°)
1.41253754462276e+02	(-5.75151639588604e-05dB,-2.08503088670324e-01°)
1.45378438560766e+02	(-6.09235941405458e-05dB,-2.14592253996435e-01°)
1.49623565609443e+02	(-6.45340405059334e-05dB,-2.20859295177599e-01°)
1.53992652605949e+02	(-6.83584798478338e-05dB,-2.27309412505860e-01°)
1.58489319246112e+02	(-7.24095994445050e-05dB,-2.33947958688711e-01°)
1.63117290922784e+02	(-7.67008392444958e-05dB,-2.40780443347581e-01°)
1.67880401812256e+02	(-8.12464365661214e-05dB,-2.47812537652891e-01°)
1.72782598050787e+02	(-8.60614734900494e-05dB,-2.55050079106472e-01°)
1.77827941003892e+02	(-9.11619270347630e-05dB,-2.62499076460473e-01°)
1.83020610631106e+02	(-9.65647223435473e-05dB,-2.70165714789875e-01°)
1.88364908948980e+02	(-1.02287789050897e-04dB,-2.78056360722065e-01°)
1.93865263595221e+02	(-1.08350120986622e-04dB,-2.86177567820213e-01°)
1.99526231496888e+02	(-1.14771839457899e-04dB,-2.94536082135332e-01°)
2.05352502645715e+02	(-1.21574260294583e-04dB,-3.03138847930141e-01°)
2.11348903983665e+02	(-1.28779964918309e-04dB,-3.11993013572717e-01°)
2.17520403401953e+02	(-1.36412875647747e-04dB,-3.21105937623713e-01°)
2.23872113856834e+02	(-1.44498335473567e-04dB,-3.30485195097971e-01°)
2.30409297605585e+02	(-1.53063192668877e-04dB,-3.40138583933465e-01°)
2.37137370566166e+02	(-1.62135890380022e-04dB,-3.50074131652238e-01°)
2.44061906804198e+02	(-1.71746561656130e-04dB,-3.60300102238289e-01°)
2.51188643150958e+02	(-1.81927130120247e-04dB,-3.70825003224342e-01°)
2.58523483956220e+02	(-1.92711416684594e-04dB,-3.81657593008651e-01°)
2.66072505979881e+02	(-2.04135252671970e-04dB,-3.92806888398490e-01°)
2.73841963426437e+02	(-2.16236599721851e-04dB,-4.04282172395099e-01°)
2.81838293126446e+02	(-2.29055676903106e-04dB,-4.16093002232287e-01°)
2.90068119869316e+02	(-2.42635095438029e-04dB,-4.28249217664666e-01°)
2.98538261891797e+02	(-2.57020001582247e-04dB,-4.40760949535175e-01°)
3.07255736526745e+02	(-2.72258228040272e-04dB,-4.53638628607001e-01°)
3.16227766016839e+02	(-2.88400454556912e-04dB,-4.66892994697152e-01°)
3.25461783498047e+02	(-3.05500378186017e-04dB,-4.80535106103899e-01°)
3.34965439157828e+02	(-3.23614893795044e-04dB,-4.94576349341747e-01°)
3.44746606573150e+02	(-3.42804285548245e-04dB,-5.09028449213621e-01°)
3.54813389233576e+02	(-3.63132429921473e-04dB,-5.23903479206192e-01°)
3.65174127254839e+02	(-3.84667011042835e-04dB,-5.39213872244334e-01°)
3.75837404288445e+02	(-4.07479749083250e-04dB,-5.54972431808824e-01°)
3.86812054633053e+02	(-4.31646642537834e-04dB,-5.71192343437139e-01°)
3.98107170553498e+02	(-4.57248225219058e-04dB,-5.87887186617431e-01°)
4.09732109813543e+02	(-4.84369838935246e-04dB,-6.05070947101605e-01°)
4.21696503428583e+02	(-5.13101922779109e-04dB,-6.22758029646844e-01°)
4.34010263644745e+02	(-5.43540320121100e-04dB,-6.40963271212357e-01°)
4.46683592150964e+02	(-5.75786604388270e-04dB,-6.59701954625785e-01°)
4.59726988530874e+02	(-6.09948424830305e-04dB,-6.78989822745741e-01°)
4.73151258961482e+02	(-6.46139873537610e-04dB,-6.98843093140498e-01°)
4.86967525165865e+02	(-6.84481875067483e-04dB,-7.19278473308951e-01°)
5.01187233627274e+02	(-7.25102600106431e-04dB,-7.40313176466550e-01°)
5.15822165072307e+02	(-7.68137904763250e-04dB,-7.61964937932125e-01°)
5.30884444230990e+02	(-8.13731797060308e-04dB,-7.84252032133630e-01°)
5.46386549881856e+02	(-8.62036932467180e-04dB,-8.07193290277213e-01°)
5.62341325190351e+02	(-9.13215140315036e-04dB,-8.30808118702127e-01°)
5.78761988349123e+02	(-9.67437983122257e-04dB,-8.55116517963056e-01°)
5.95662143529012e+02	(-1.02488735102409e-03dB,-8.80139102682212e-01°)
6.13055792149823e+02	(-1.08575609354013e-03dB,-9.05897122202080e-01°)
6.30957344480196e+02	(-1.15024869129595e-03dB,-9.32412482094284e-01°)
6.49381631576214e+02	(-1.21858197022357e-03dB,-9.59707766565890e-01°)
6.68343917568617e+02	(-1.29098586120129e-03dB,-9.87806261816620e-01°)
6.87859912308810e+02	(-1.36770420815689e-03dB,-1.01673198039777e+00°)
7.07945784384141e+02	(-1.44899562794573e-03dB,-1.04650968664145e+00°)
7.28618174513231e+02	(-1.53513442555426e-03dB,-1.07716492321103e+00°)
7.49894209332459e+02	(-1.62641156846859e-03dB,-1.10872403885213e+00°)
7.71791515585015e+02	(-1.72313572427185e-03dB,-1.14121421741199e+00°)
7.94328234724285e+02	(-1.82563436597430e-03dB,-1.17466350820870e+00°)
8.17523037943653e+02	(-1.93425494980369e-03dB,-1.20910085783549e+00°)
8.41395141645198e+02	(-2.04936617065099e-03dB,-1.24455614349415e+00°)
8.65964323360069e+02	(-2.17135930074140e-03dB,-1.28106020795629e+00°)
8.91250938133749e+02	(-2.30064961757510e-03dB,-1.31864489626177e+00°)
9.17275935389784e+02	(-2.43767792765528e-03dB,-1.35734309427335e+00°)
9.44060876285928e+02	(-2.58291219309045e-03dB,-1.39718876921111e+00°)
9.71627951577110e+02	(-2.73684926873909e-03dB,-1.43821701230780e+00°)
1.00000000000000e+03	(-2.90001675822684e-03dB,-1.48046408373521e+00°)
1.02920052719443e+03	(-3.07297499788833e-03dB,-1.52396745996054e+00°)
1.05925372517729e+03	(-3.25631917846505e-03dB,-1.56876588371411e+00°)
1.09018449238513e+03	(-3.45068161526989e-03dB,-1.61489941675490e+00°)
1.12201845430197e+03	(-3.65673417851063e-03dB,-1.66240949565002e+00°)
1.15478198468946e+03	(-3.87519089649658e-03dB,-1.71133899078685e+00°)
1.18850222743702e+03	(-4.10681074562704e-03dB,-1.76173226887392e+00°)
1.22320711904994e+03	(-4.35240064240229e-03dB,-1.81363525919373e+00°)
1.25892541179417e+03	(-4.61281865407352e-03dB,-1.86709552390715e+00°)
1.29568669751703e+03	(-4.88897744622449e-03dB,-1.92216233272831e+00°)
1.33352143216333e+03	(-5.18184798722332e-03dB,-1.97888674232073e+00°)
1.37246096100757e+03	(-5.49246353164054e-03dB,-2.03732168080258e+00°)
1.41253754462276e+03	(-5.82192390673366e-03dB,-2.09752203777610e+00°)
1.45378438560767e+03	(-6.17140012869269e-03dB,-2.15954476034594e+00°)
1.49623565609444e+03	(-6.54213937797818e-03dB,-2.22344895562712e+00°)
1.53992652605950e+03	(-6.93547036619653e-03dB,-2.28929600029721e+00°)
1.58489319246112e+03	(-7.35280913036147e-03dB,-2.35714965779886e+00°)
1.63117290922785e+03	(-7.79566529416742e-03dB,-2.42707620385821e+00°)
1.67880401812257e+03	(-8.26564884031436e-03dB,-2.49914456105191e+00°)
1.72782598050787e+03	(-8.76447744263381e-03dB,-2.57342644322832e+00°)
1.77827941003893e+03	(-9.29398441225329e-03dB,-2.64999651066784e+00°)
1.83020610631107e+03	(-9.85612731819389e-03dB,-2.72893253696199e+00°)
1.88364908948981e+03	(-1.04529973496093e-02dB,-2.81031558868647e+00°)
1.93865263595222e+03	(-1.10868294947859e-02dB,-2.89423021905921e+00°)
1.99526231496889e+03	(-1.17600136207857e-02dB,-2.98076467689619e+00°)
2.05352502645716e+03	(-1.24751065476293e-02dB,-3.07001113232127e+00°)
2.11348903983666e+03	(-1.32348452223449e-02dB,-3.16206592083741e+00°)
2.17520403401954e+03	(-1.40421611110163e-02dB,-3.25702980754389e+00°)
2.23872113856835e+03	(-1.49001959417658e-02dB,-3.35500827348018e+00°)
2.30409297605586e+03	(-1.58123189483277e-02dB,-3.45611182629393e+00°)
2.37137370566167e+03	(-1.67821457830284e-02dB,-3.56045633767801e+00°)
2.44061906804200e+03	(-1.78135592899346e-02dB,-3.66816341030062e+00°)
2.51188643150960e+03	(-1.89107323540331e-02dB,-3.77936077726142e+00°)
2.58523483956221e+03	(-2.00781530711756e-02dB,-3.89418273746204e+00°)
2.66072505979883e+03	(-2.13206525166793e-02dB,-4.01277063067663e+00°)
2.73841963426438e+03	(-2.26434354288154e-02dB,-4.13527335655880e+00°)
2.81838293126447e+03	(-2.40521141674868e-02dB,-4.26184794233420e+00°)
2.90068119869317e+03	(-2.55527463596222e-02dB,-4.39266016450725e+00°)
2.98538261891798e+03	(-2.71518767020290e-02dB,-4.52788523057312e+00°)
3.07255736526747e+03	(-2.88565834613617e-02dB,-4.66770852747849e+00°)
3.16227766016840e+03	(-3.06745302910335e-02dB,-4.81232644443546e+00°)
3.25461783498048e+03	(-3.26140240785800e-02dB,-4.96194727867729e+00°)
3.34965439157830e+03	(-3.46840796464020e-02dB,-5.11679223387288e+00°)
3.44746606573152e+03	(-3.68944922572965e-02dB,-5.27709652221304e+00°)
3.54813389233578e+03	(-3.92559190271298e-02dB,-5.44311058267345e+00°)
3.65174127254840e+03	(-4.17799705248004e-02dB,-5.61510142967779e+00°)
3.75837404288447e+03	(-4.44793140499294e-02dB,-5.79335414837505e+00°)
3.86812054633055e+03	(-4.73677903276552e-02dB,-5.97817355504595e+00°)
3.98107170553500e+03	(-5.04605456557835e-02dB,-6.16988604382734e+00°)
4.09732109813545e+03	(-5.37741818920213e-02dB,-6.36884164405534e+00°)
4.21696503428585e+03	(-5.73269270903347e-02dB,-6.57541631615448e+00°)
4.34010263644747e+03	(-6.11388301004337e-02dB,-6.79001451824462e+00°)
4.46683592150966e+03	(-6.52319830517137e-02dB,-7.01307208060792e+00°)
4.59726988530876e+03	(-6.96307763758798e-02dB,-7.24505943100350e+00°)
4.73151258961484e+03	(-7.43621919095089e-02dB,-7.48648522069935e+00°)
4.86967525165867e+03	(-7.94561406960517e-02dB,-7.73790040922605e+00°)
5.01187233627276e+03	(-8.49458534211943e-02dB,-7.99990287548674e+00°)
5.15822165072310e+03	(-9.08683330249522e-02dB,-8.27314263430234e+00°)
5.30884444230992e+03	(-9.72648810116458e-02dB,-8.55832775109816e+00°)
5.46386549881858e+03	(-1.04181711419592e-01dB,-8.85623106371958e+00°)
5.62341325190353e+03	(-1.11670669437214e-01dB,-9.16769783987060e+00°)
5.78761988349125e+03	(-1.19790075417191e-01dB,-9.49365452210657e+00°)
5.95662143529015e+03	(-1.28605719748696e-01dB,-9.83511874056252e+00°)
6.13055792149826e+03	(-1.38192039963097e-01dB,-1.01932108077446e+01°)
6.30957344480198e+03	(-1.48633518918153e-01dB,-1.05691669511174e+01°)
6.49381631576217e+03	(-1.60026352385762e-01dB,-1.09643545895706e+01°)
6.68343917568620e+03	(-1.72480446464890e-01dB,-1.13802900212616e+01°)
6.87859912308813e+03	(-1.86121820762732e-01dB,-1.18186589654519e+01°)
7.07945784384144e+03	(-2.01095513318648e-01dB,-1.22813404930939e+01°)
7.28618174513234e+03	(-2.17569109254162e-01dB,-1.27704349942300e+01°)
7.49894209332462e+03	(-2.35737049114801e-01dB,-1.32882969699160e+01°)
